source,source_name,target,target_name
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,JrHfGRXXeKw,WATCH: Republican counsel’s full questioning of Vindman and Williams | Trump impeachment hearings
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,20t72pOp2VM,OPENING STATEMENT: Ambassador Kurt Volker on Day 3 of Impeachment Hearings
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,HAI39mb3QaI,LIVE: House Impeachment Inquiry Hearing - Volker & Morrison Testimony
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,eLuTfarvDBA,Cuomo calls out Trump adviser for spreading 'poison'
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,Nv5YwiFZUAg,Impeachment Hearing With Kurt Volker and Timothy Morrison
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,rsApfcrJV8g,WATCH: Kurt Volker’s full opening statement | Trump impeachment hearings
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,V4a5DM7uXds,U.S. House Intelligence Committee's Open Hearings In Trump's Impeachment Inquiry | LIVE | TIME
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,0ipIGFhim-s,WATCH: Nunes’ full questioning of Vindman and Williams | Trump impeachment hearings
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",JrHfGRXXeKw,WATCH: Republican counsel’s full questioning of Vindman and Williams | Trump impeachment hearings
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",HAI39mb3QaI,LIVE: House Impeachment Inquiry Hearing - Volker & Morrison Testimony
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",ZdKjmxDaEk8,'WE DON'T BELIEVE YOU': Jim Jordan CALLS OUT Schiff For Knowing Who's The Whistleblower
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",DUPo62ouU84,Stephen Colbert: The Newest Zealander Visits PM Jacinda Ardern
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",tXYlgnuCoP8,Hear Lt. Col. Alexander Vindman's full opening remarks
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",GCkf-3f8w00,Schiff Slams Republicans: Trump Actions 'No Less Odious Because It Was Discovered' | NBC News
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",HWgrfxWYHdM,Bolton’s Valiant Effort To Get Trump To Release Military Aid For Ukraine | Deadline | MSNBC
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",NoIyk0OILS8,U.S. impeachment hearings | Day 3
HfO2RKh8-xY,"Trump Impeachment hearings live: Public testimony from Volker, Vindman, Williams & Morrison",istOqRxsNOY,WATCH: Democratic counsel’s full questioning of Volker and Morrison | Trump impeachment hearings
HfO2RKh8-xY,"Trump Impeachment hearings live: Public testimony from Volker, Vindman, Williams & Morrison",D8G8Fc32L60,"Day 3, Part 6: Devin Nunes and Steve Castor question Jennifer Williams and Alexander Vindman"
