video_id,video_name,channel_title,channel_id,published_at,thumbnail_url,type,profundidade,posição,data_hora
VfRz-jRbcSQ,Trump impeachment inquiry: Volker and Morrison testify – watch live,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,2019-11-19T15:47:57.000Z,https://i.ytimg.com/vi/VfRz-jRbcSQ/default_live.jpg,resultado de busca,0,0,2019-11-19 19:25:43
4iL6II-fuc0,"Watch Live: Trump Impeachment Inquiry Hearings - November 19, 2019 (Day 3) | NBC News",NBC News,UCeY0bbntWzzVIaj2z3QigXg,2019-11-18T15:07:57.000Z,https://i.ytimg.com/vi/4iL6II-fuc0/default_live.jpg,resultado de busca,0,1,2019-11-19 19:25:43
HfO2RKh8-xY,"WATCH: The Trump Impeachment Hearings – Day 3 - Williams, Vindman, Volker and Morrison to testify",CBS News,UC8p1vwvWtl6T73JiExfWs1g,2019-11-18T21:48:32.000Z,https://i.ytimg.com/vi/HfO2RKh8-xY/default_live.jpg,resultado de busca,0,2,2019-11-19 19:25:43
noR-FOn5XGM,"Trump Impeachment hearings live: Public testimony from Volker, Vindman, Williams & Morrison",PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,2019-11-18T16:45:03.000Z,https://i.ytimg.com/vi/noR-FOn5XGM/default_live.jpg,resultado de busca,0,3,2019-11-19 19:25:43
Reqv71TsiTE,Vindman: Improper for Trump to demand Biden investigation,CNN,UCupvZG-5ko_eiXAupbDfxWw,2019-11-19T20:49:30.000Z,https://i.ytimg.com/vi/Reqv71TsiTE/default.jpg,resultado de busca,0,4,2019-11-19 19:25:43
_ywmySoT-DQ,Trump mocks witness during his testimony | ABC News,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,2019-11-19T19:55:04.000Z,https://i.ytimg.com/vi/_ywmySoT-DQ/default.jpg,resultado de busca,0,5,2019-11-19 19:25:43
nxH-QK12510,"Majority Thinks President Donald Trump's Actions In Ukraine Were Wrong: Poll | Morning Joe | MSNBC",MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,2019-11-19T15:30:00.000Z,https://i.ytimg.com/vi/nxH-QK12510/default.jpg,resultado de busca,0,6,2019-11-19 19:25:43
qMHk8LM13P8,Democrat Wins After President Donald Trump Begs Voters To Send Message | The Last Word | MSNBC,MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,2019-11-19T07:04:53.000Z,https://i.ytimg.com/vi/qMHk8LM13P8/default.jpg,resultado de busca,0,7,2019-11-19 19:25:43
JrHfGRXXeKw,WATCH: Republican counsel’s full questioning of Vindman and Williams | Trump impeachment hearings,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,2019-11-19T16:52:14.000Z,https://i.ytimg.com/vi/JrHfGRXXeKw/default.jpg,video relacionado,1,0,2019-11-19 19:25:45
20t72pOp2VM,OPENING STATEMENT: Ambassador Kurt Volker on Day 3 of Impeachment Hearings,FOX 10 Phoenix,UCJg9wBPyKMNA5sRDnvzmkdg,2019-11-19T21:13:58.000Z,https://i.ytimg.com/vi/20t72pOp2VM/default.jpg,video relacionado,1,1,2019-11-19 19:25:45
HAI39mb3QaI,LIVE: House Impeachment Inquiry Hearing - Volker & Morrison Testimony,C-SPAN,UCb--64Gl51jIEVE-GLDAVTg,2019-11-18T16:45:39.000Z,https://i.ytimg.com/vi/HAI39mb3QaI/default_live.jpg,video relacionado,1,2,2019-11-19 19:25:45
eLuTfarvDBA,Cuomo calls out Trump adviser for spreading 'poison',CNN,UCupvZG-5ko_eiXAupbDfxWw,2019-11-19T20:13:21.000Z,https://i.ytimg.com/vi/eLuTfarvDBA/default.jpg,video relacionado,1,3,2019-11-19 19:25:45
Nv5YwiFZUAg,Impeachment Hearing With Kurt Volker and Timothy Morrison,HuffPost,UCZfsrIV68Oegr5bJgAMLBDA,2019-11-18T19:28:24.000Z,https://i.ytimg.com/vi/Nv5YwiFZUAg/default_live.jpg,video relacionado,1,4,2019-11-19 19:25:45
rsApfcrJV8g,WATCH: Kurt Volker’s full opening statement | Trump impeachment hearings,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,2019-11-19T21:18:17.000Z,https://i.ytimg.com/vi/rsApfcrJV8g/default.jpg,video relacionado,1,5,2019-11-19 19:25:45
V4a5DM7uXds,U.S. House Intelligence Committee's Open Hearings In Trump's Impeachment Inquiry | LIVE | TIME,TIME,UC8Su5vZCXWRag13H53zWVwA,2019-11-19T15:58:45.000Z,https://i.ytimg.com/vi/V4a5DM7uXds/default_live.jpg,video relacionado,1,6,2019-11-19 19:25:45
0ipIGFhim-s,WATCH: Nunes’ full questioning of Vindman and Williams | Trump impeachment hearings,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,2019-11-19T15:53:11.000Z,https://i.ytimg.com/vi/0ipIGFhim-s/default.jpg,video relacionado,1,7,2019-11-19 19:25:45
ZdKjmxDaEk8,'WE DON'T BELIEVE YOU': Jim Jordan CALLS OUT Schiff For Knowing Who's The Whistleblower,FOX 10 Phoenix,UCJg9wBPyKMNA5sRDnvzmkdg,2019-11-19T16:52:03.000Z,https://i.ytimg.com/vi/ZdKjmxDaEk8/default.jpg,video relacionado,1,2,2019-11-19 19:25:46
DUPo62ouU84,Stephen Colbert: The Newest Zealander Visits PM Jacinda Ardern,The Late Show with Stephen Colbert,UCMtFAi84ehTSYSE9XoHefig,2019-11-19T08:53:34.000Z,https://i.ytimg.com/vi/DUPo62ouU84/default.jpg,video relacionado,1,3,2019-11-19 19:25:46
